NumeroOrden,NumeroLineaOrden,FechaPedido,NombreCliente,CorreoElectronico,Articulo,Cantidad,PrecioUnitario,MontoImpuesto
SO48945,1,2020-12-19,Rebecca Adams,rebecca17@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO48953,1,2020-12-20,Max Ortega,max20@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO48956,1,2020-12-20,Lydia Sai,lydia5@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO48952,1,2020-12-20,Johnny Moyer,johnny20@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO48955,1,2020-12-20,Eugene He,eugene23@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO48950,1,2020-12-20,Kristen Ye,kristen8@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO48954,1,2020-12-20,Sydney Edwards,sydney45@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO48951,1,2020-12-20,Calvin Kumar,calvin8@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO48960,1,2020-12-21,Danielle Rivera,danielle19@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO48961,1,2020-12-21,Arturo Xu,arturo13@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO48962,1,2020-12-21,Rebekah Suarez,rebekah39@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO48958,1,2020-12-21,Sydney Wood,sydney24@adventure-works.com,"Road-250 Black, 52",1,2181,174
SO48963,1,2020-12-21,Taylor White,taylor60@adventure-works.com,"Road-550-W Yellow, 40",1,1000,80
SO48959,1,2020-12-21,Emmanuel Sai,emmanuel5@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO48957,1,2020-12-21,Stanley Chandra,stanley2@adventure-works.com,"Road-650 Black, 58",1,782,62
SO48969,1,2020-12-22,Kendra Gomez,kendra1@adventure-works.com,"Road-250 Black, 58",1,2181,174
SO48966,1,2020-12-22,Heather Ma,heather15@adventure-works.com,"Road-250 Black, 44",1,2181,174
SO48964,1,2020-12-22,Randall Munoz,randall8@adventure-works.com,"Road-250 Red, 58",1,2181,174
SO48965,1,2020-12-22,Marco Arun,marco7@adventure-works.com,"Road-550-W Yellow, 48",1,1000,80
SO48968,1,2020-12-22,Benjamin Ross,benjamin5@adventure-works.com,"Road-250 Red, 58",1,2181,174
SO48972,1,2020-12-22,Karla Yuan,karla7@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO48971,1,2020-12-22,Jason Campbell,jason36@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO48967,1,2020-12-22,Isabella Ross,isabella15@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO48973,1,2020-12-22,Amanda Hall,amanda66@adventure-works.com,"Carretera-650 Negro, 62",1,782,62
SO48970,1,2020-12-22,Jasmine Davis,jasmine5@adventure-works.com,"Road-550-W Yellow, 42",1,1000,80
SO48987,1,2020-12-23,Kelvin Sharma,kelvin6@adventure-works.com,"Road-650 Red, 58",1,782,62
SO48986,1,2020-12-23,Gregory Nara,gregory20@adventure-works.com,"Road-650 Red, 62",1,782,62
SO48978,1,2020-12-23,Jonathan Wilson,jonathan57@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO48979,1,2020-12-23,Sarah Washington,sarah38@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO48984,1,2020-12-23,Cheryl Munoz,cheryl9@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO48985,1,2020-12-23,Terry Yuan,terry10@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO48976,1,2020-12-23,Krystal Liang,krystal17@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO48975,1,2020-12-23,Colin Cai,colin21@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO48974,1,2020-12-23,Jeremiah Miller,jeremiah0@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO48982,1,2020-12-23,Samuel Henderson,samuel3@adventure-works.com,"Road-650 Red, 60",1,782,62
SO48983,1,2020-12-23,Keith Raji,keith25@adventure-works.com,"Road-650 Black, 58",1,782,62
SO48980,1,2020-12-23,Wesley Li,wesley3@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO48981,1,2020-12-23,Tiffany Chen,tiffany2@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO48977,1,2020-12-23,Tyrone Moreno,tyrone6@adventure-works.com,"Road-650 Red, 58",1,782,62
SO48993,1,2020-12-24,Carrie Alvarez,carrie4@adventure-works.com,"Road-250 Black, 52",1,2181,174
SO48994,1,2020-12-24,Evan Sanders,evan3@adventure-works.com,"Road-650 Red, 62",1,782,62
SO48988,1,2020-12-24,Corey Anand,corey19@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO48991,1,2020-12-24,Johnathan Suri,johnathan1@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO48990,1,2020-12-24,Emmanuel Lopez,emmanuel15@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO48992,1,2020-12-24,Andrew Walker,andrew30@adventure-works.com,"Road-250 Black, 58",1,2181,174
SO48989,1,2020-12-24,Lee Rubio,lee19@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO48995,1,2020-12-25,Kelvin Raji,kelvin18@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO48998,1,2020-12-25,Dawn Zhu,dawn16@adventure-works.com,"Road-650 Black, 58",1,782,62
SO48997,1,2020-12-25,Kyle Parker,kyle29@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO48996,1,2020-12-25,Patrick Murphy,patrick20@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO49007,1,2020-12-26,Victoria Cooper,victoria35@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49006,1,2020-12-26,Juan Ramos,juan5@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49000,1,2020-12-26,Dominique Malhotra,dominique4@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO48999,1,2020-12-26,Terrence Yuan,terrence7@adventure-works.com,"Road-250 Black, 52",1,2181,174
SO49002,1,2020-12-26,Alfredo Alonso,alfredo9@adventure-works.com,"Road-250 Red, 58",1,2181,174
SO49003,1,2020-12-26,Tiffany Zimmerman,tiffany20@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO49004,1,2020-12-26,Mario Moyer,mario15@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO49005,1,2020-12-26,Devin Kelly,devin64@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49008,1,2020-12-26,Kern Sutton,kern0@adventure-works.com,"Road-650 Red, 52",1,782,62
SO49001,1,2020-12-26,Teresa Blanco,teresa16@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49011,1,2020-12-27,Brooke Rivera,brooke14@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49010,1,2020-12-27,Kristin Shan,kristin11@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO49009,1,2020-12-27,Clayton Anand,clayton40@adventure-works.com,"Road-650 Black, 58",1,782,62
SO49014,1,2020-12-28,Jeremiah Gray,jeremiah42@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49012,1,2020-12-28,Jon Xu,jon45@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49013,1,2020-12-28,Andrew Robinson,andrew25@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO49015,1,2020-12-28,Barry Sara,barry11@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49016,1,2020-12-28,Bianca Zhao,bianca8@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49021,1,2020-12-29,Alvin Andersen,alvin35@adventure-works.com,"Road-250 Red, 58",1,2181,174
SO49017,1,2020-12-29,Chad Nath,chad19@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49018,1,2020-12-29,Franklin Xie,franklin21@adventure-works.com,"Road-250 Red, 58",1,2181,174
SO49019,1,2020-12-29,Casey Shan,casey11@adventure-works.com,"Road-250 Red, 58",1,2181,174
SO49020,1,2020-12-29,Stanley Schmidt,stanley11@adventure-works.com,"Road-550-W Yellow, 42",1,1000,80
SO49022,1,2020-12-29,Jerome Vazquez,jerome13@adventure-works.com,"Road-250 Black, 52",1,2181,174
SO49024,1,2020-12-29,Kathleen Jimenez,kathleen7@adventure-works.com,"Road-650 Black, 48",1,782,62
SO49023,1,2020-12-29,Julie Tang,julie8@adventure-works.com,"Road-650 Red, 48",1,782,62
SO49030,1,2020-12-30,Gilbert Zhao,gilbert8@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49029,1,2020-12-30,Walter Romero,walter22@adventure-works.com,"Road-550-W Yellow, 40",1,1000,80
SO49025,1,2020-12-30,Darryl Guo,darryl17@adventure-works.com,"Road-650 Black, 58",1,782,62
SO49026,1,2020-12-30,Linda Moreno,linda21@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO49027,1,2020-12-30,Justin Simmons,justin12@adventure-works.com,"Road-650 Red, 62",1,782,62
SO49028,1,2020-12-30,Arturo Sharma,arturo34@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49033,1,2020-12-31,Brian Torres,brian16@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49032,1,2020-12-31,Kristin Jai,kristin12@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49034,1,2020-12-31,Karl Xu,karl5@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49035,1,2020-12-31,Bruce Rubio,bruce42@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49037,1,2020-12-31,Devin Thompson,devin14@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49038,1,2020-12-31,Kaylee Phillips,kaylee27@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49031,1,2020-12-31,Thomas Phillips,thomas43@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49036,1,2020-12-31,Ethan Clark,ethan36@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49171,1,2021-01-01,Mariah Foster,mariah21@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49172,1,2021-01-01,Brian Howard,brian23@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49173,1,2021-01-01,Linda Alvarez,linda19@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49174,1,2021-01-01,Gina Hernandez,gina4@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO49178,1,2021-01-01,Beth Ruiz,beth4@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO49179,1,2021-01-01,Evan Ward,evan13@adventure-works.com,"Road-550-W Yellow, 38",1,1000,80
SO49175,1,2021-01-01,Margaret Guo,margaret24@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO49180,1,2021-01-01,Mitchell Yuan,mitchell6@adventure-works.com,"Road-650 Black, 58",1,782,62
SO49176,1,2021-01-01,Shawn Sharma,shawn11@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49177,1,2021-01-01,Barbara Chande,barbara44@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO49186,1,2021-01-02,Cara Xu,cara8@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO49187,1,2021-01-02,Lacey Liu,lacey16@adventure-works.com,"Road-250 Black, 58",1,2181,174
SO49190,1,2021-01-02,Omar Zhu,omar13@adventure-works.com,"Road-550-W Yellow, 40",1,1000,80
SO49185,1,2021-01-02,Cassandra Fernandez,cassandra17@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49184,1,2021-01-02,Monica Martinez,monica17@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49189,1,2021-01-02,Marie Gonzalez,marie20@adventure-works.com,"Road-650 Black, 48",1,782,62
SO49182,1,2021-01-02,Alexandra Hall,alexandra89@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO49183,1,2021-01-02,Alejandro Raji,alejandro46@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO49181,1,2021-01-02,Derrick Jimnez,derrick5@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49188,1,2021-01-02,Erin Cox,erin15@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49192,1,2021-01-03,Eugene Sun,eugene17@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO49191,1,2021-01-03,Benjamin Thompson,benjamin52@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO49195,1,2021-01-03,Barry Malhotra,barry5@adventure-works.com,"Road-650 Red, 58",1,782,62
SO49194,1,2021-01-03,Clayton Wagner,clayton1@adventure-works.com,"Road-650 Black, 60",1,782,62
SO49196,1,2021-01-03,Katherine Perry,katherine33@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO49198,1,2021-01-03,Lori Alvarez,lori7@adventure-works.com,"Road-650 Black, 52",1,782,62
SO49199,1,2021-01-03,Jillian Patel,jillian3@adventure-works.com,"Carretera-650 Negro, 62",1,782,62
SO49193,1,2021-01-03,Summer Rodriguez,summer17@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49197,1,2021-01-03,Oscar Flores,oscar20@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49205,1,2021-01-04,Rebekah Serrano,rebekah36@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49204,1,2021-01-04,Monique Blanco,monique12@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49212,1,2021-01-04,Olivia Coleman,olivia51@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO49210,1,2021-01-04,Timothy James,timothy9@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49203,1,2021-01-04,Louis Ye,louis3@adventure-works.com,"Road-650 Red, 52",1,782,62
SO49201,1,2021-01-04,Jaime Diaz,jaime3@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO49202,1,2021-01-04,Audrey Gutierrez,audrey12@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49200,1,2021-01-04,Blake Taylor,blake8@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49215,1,2021-01-04,Kathryn Deng,kathryn1@adventure-works.com,"Road-650 Red, 62",1,782,62
SO49213,1,2021-01-04,Anne Martin,anne1@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO49209,1,2021-01-04,Dana Suarez,dana12@adventure-works.com,"Road-250 Red, 58",1,2181,174
SO49208,1,2021-01-04,Alexis Powell,alexis31@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49207,1,2021-01-04,Jordan Roberts,jordan58@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO49206,1,2021-01-04,Adam Powell,adam6@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49214,1,2021-01-04,Bobby Ray,bobby7@adventure-works.com,"Road-250 Black, 58",1,2181,174
SO49216,1,2021-01-04,Rafael Sun,rafael14@adventure-works.com,"Road-650 Red, 44",1,782,62
SO49211,1,2021-01-04,Rachel Perry,rachel55@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO49221,1,2021-01-05,Brett Martinez,brett17@adventure-works.com,"Road-250 Black, 58",1,2181,174
SO49217,1,2021-01-05,Russell Sharma,russell12@adventure-works.com,"Road-250 Black, 52",1,2181,174
SO49220,1,2021-01-05,Arthur Chandra,arthur4@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49219,1,2021-01-05,Priscilla Rai,priscilla16@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49224,1,2021-01-05,Sydney Sanders,sydney22@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49222,1,2021-01-05,Chloe Scott,chloe11@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49223,1,2021-01-05,Jonathan Thompson,jonathan69@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49218,1,2021-01-05,Caitlin Rivera,caitlin14@adventure-works.com,"Road-250 Black, 58",1,2181,174
SO49227,1,2021-01-06,Russell Jai,russell14@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO49229,1,2021-01-06,Denise Martinez,denise18@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49234,1,2021-01-06,Steven Bell,steven23@adventure-works.com,"Road-650 Red, 48",1,782,62
SO49232,1,2021-01-06,Jason Allen,jason50@adventure-works.com,"Road-650 Red, 58",1,782,62
SO49233,1,2021-01-06,Calvin Raji,calvin20@adventure-works.com,"Road-650 Red, 62",1,782,62
SO49235,1,2021-01-06,Destiny Peterson,destiny40@adventure-works.com,"Road-650 Red, 58",1,782,62
SO49226,1,2021-01-06,Bridget Andersen,bridget15@adventure-works.com,"Road-250 Red, 52",1,2443,195
SO49225,1,2021-01-06,Gilbert Guo,gilbert15@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49230,1,2021-01-06,Taylor Washington,taylor38@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49238,1,2021-01-06,Krystal Zhou,krystal8@adventure-works.com,"Road-250 Black, 58",1,2181,174
SO49237,1,2021-01-06,Mandy Lin,mandy9@adventure-works.com,"Road-550-W Yellow, 42",1,1000,80
SO49236,1,2021-01-06,Edwin Sharma,edwin32@adventure-works.com,"Road-550-W Yellow, 48",1,1000,80
SO49231,1,2021-01-06,Nathan Butler,nathan10@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49228,1,2021-01-06,Chloe Ross,chloe70@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49245,1,2021-01-07,Alberto Hernandez,alberto5@adventure-works.com,"Road-550-W Yellow, 48",1,1000,80
SO49246,1,2021-01-07,Bruce Jimnez,bruce28@adventure-works.com,"Road-250 Black, 44",1,2181,174
SO49242,1,2021-01-07,Ronnie Yang,ronnie4@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49244,1,2021-01-07,Cody Stewart,cody22@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49239,1,2021-01-07,Roger Shen,roger29@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO49240,1,2021-01-07,Johnny Anand,johnny23@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49241,1,2021-01-07,Samuel Diaz,samuel21@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO49243,1,2021-01-07,Kristi Sanchez,kristi38@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49251,1,2021-01-08,Sarah Gonzales,sarah41@adventure-works.com,"Road-250 Black, 52",1,2181,174
SO49256,1,2021-01-08,Raquel Hernandez,raquel2@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO49253,1,2021-01-08,Emma Bradley,emma31@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49254,1,2021-01-08,Edwin Zheng,edwin20@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49252,1,2021-01-08,Brianna Sanchez,brianna25@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49250,1,2021-01-08,Jeremy Rogers,jeremy45@adventure-works.com,"Road-650 Black, 52",1,782,62
SO49247,1,2021-01-08,Kathleen Alvarez,kathleen6@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO49248,1,2021-01-08,Jake Xu,jake11@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO49249,1,2021-01-08,Tommy Raje,tommy10@adventure-works.com,"Road-550-W Yellow, 42",1,1000,80
SO49255,1,2021-01-08,Jonathan Yang,jonathan26@adventure-works.com,"Road-650 Red, 44",1,782,62
SO49257,1,2021-01-08,Amber Adams,amber16@adventure-works.com,"Road-650 Red, 58",1,782,62
SO49258,1,2021-01-09,Valerie Zhou,valerie10@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49262,1,2021-01-09,Cedric Ye,cedric10@adventure-works.com,"Road-650 Black, 58",1,782,62
SO49263,1,2021-01-09,Jose Shan,jose25@adventure-works.com,"Road-650 Black, 52",1,782,62
SO49265,1,2021-01-09,Manuel Lopez,manuel15@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49266,1,2021-01-09,Nathaniel Rivera,nathaniel18@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49264,1,2021-01-09,Cheryl Sanz,cheryl23@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49267,1,2021-01-09,Javier Navarro,javier4@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49260,1,2021-01-09,Brett Sanchez,brett20@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49261,1,2021-01-09,Linda Carlson,linda33@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49268,1,2021-01-09,Mackenzie James,mackenzie6@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49259,1,2021-01-09,Walter Ramos,walter10@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49271,1,2021-01-10,Kevin Simmons,kevin18@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO49272,1,2021-01-10,Alejandro Kumar,alejandro34@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49269,1,2021-01-10,Jada Rogers,jada11@adventure-works.com,"Road-250 Black, 44",1,2181,174
SO49273,1,2021-01-10,Nicole Ward,nicole39@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49274,1,2021-01-10,Jennifer Ramirez,jennifer69@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49275,1,2021-01-10,Curtis Zheng,curtis16@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49270,1,2021-01-10,Melinda Gutierrez,melinda6@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49276,1,2021-01-11,Wesley He,wesley18@adventure-works.com,"Road-250 Black, 58",1,2181,174
SO49279,1,2021-01-11,Tanya Ramos,tanya14@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49278,1,2021-01-11,Madison Foster,madison28@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49277,1,2021-01-11,Nathan Hill,nathan42@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49287,1,2021-01-12,Rebekah Garcia,rebekah14@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49282,1,2021-01-12,Ricardo Kumar,ricardo7@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49288,1,2021-01-12,Isaac Cook,isaac21@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
SO49283,1,2021-01-12,Latasha Romero,latasha9@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49280,1,2021-01-12,Ronnie Ma,ronnie14@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49281,1,2021-01-12,Tanya Blanco,tanya12@adventure-works.com,"Road-650 Black, 52",1,782,62
SO49284,1,2021-01-12,Tanya Munoz,tanya3@adventure-works.com,"Road-250 Black, 48",1,2181,174
SO49285,1,2021-01-12,Robert Henderson,robert18@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49286,1,2021-01-12,Chloe Turner,chloe2@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49289,1,2021-01-12,Stacey She,stacey24@adventure-works.com,"Road-650 Red, 52",1,782,62
SO49299,1,2021-01-13,Rafael Nath,rafael42@adventure-works.com,"Road-250 Black, 52",1,2181,174
SO49291,1,2021-01-13,Bridget Raje,bridget16@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO49292,1,2021-01-13,Joe Patel,joe7@adventure-works.com,"Road-550-W Yellow, 48",1,1000,80
SO49290,1,2021-01-13,Jenny Zeng,jenny24@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO49298,1,2021-01-13,Jenny Tang,jenny27@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49300,1,2021-01-13,Roberto Gill,roberto14@adventure-works.com,"Road-550-W Yellow, 40",1,1000,80
SO49294,1,2021-01-13,Mariah Russell,mariah24@adventure-works.com,"Road-250 Red, 44",1,2443,195
SO49297,1,2021-01-13,Lacey Zhang,lacey12@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49296,1,2021-01-13,Thomas Moore,thomas69@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49293,1,2021-01-13,Felicia Blanco,felicia15@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49295,1,2021-01-13,Casey Kumar,casey8@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49307,1,2021-01-14,Jack Li,jack27@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49308,1,2021-01-14,Ian Harris,ian13@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49306,1,2021-01-14,Rachel Taylor,rachel11@adventure-works.com,"Road-250 Black, 44",1,2181,174
SO49305,1,2021-01-14,Mya Butler,mya14@adventure-works.com,"Road-250 Red, 58",1,2181,174
SO49309,1,2021-01-14,Mario Rai,mario16@adventure-works.com,"Road-550-W Yellow, 38",1,1000,80
SO49303,1,2021-01-14,Franklin Xu,franklin23@adventure-works.com,"Road-250 Black, 52",1,2181,174
SO49310,1,2021-01-14,Megan Rivera,megan37@adventure-works.com,"Carretera-650 Negro, 62",1,782,62
SO49302,1,2021-01-14,Ann Lopez,ann21@adventure-works.com,"Road-250 Red, 58",1,2181,174
SO49301,1,2021-01-14,Kristi Sai,kristi22@adventure-works.com,"Road-250 Black, 52",1,2181,174
SO49304,1,2021-01-14,Kelsey Rai,kelsey16@adventure-works.com,"Road-550-W Yellow, 38",1,1000,80
SO49311,1,2021-01-14,Derek Chande,derek13@adventure-works.com,"Road-650 Black, 60",1,782,62
SO49312,1,2021-01-15,Xavier Anderson,xavier7@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO49317,1,2021-01-15,Ian King,ian25@adventure-works.com,"Road-550-W Yellow, 38",1,1000,80
SO49314,1,2021-01-15,Robyn Munoz,robyn5@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49315,1,2021-01-15,Stacey Yang,stacey5@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49313,1,2021-01-15,Nathan Wang,nathan21@adventure-works.com,"Mountain-200 Black, 38",1,2049,163
SO49316,1,2021-01-15,Pedro Muoz,pedro28@adventure-works.com,"Road-250 Black, 58",1,2181,174
SO49320,1,2021-01-15,Naomi Ruiz,naomi2@adventure-works.com,"Road-250 Black, 44",1,2181,174
SO49319,1,2021-01-15,Patricia Perez,patricia22@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO49322,1,2021-01-15,Candice Cai,candice5@adventure-works.com,"Road-650 Red, 48",1,782,62
SO49321,1,2021-01-15,Taylor Flores,taylor37@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49318,1,2021-01-15,Emily Davis,emily5@adventure-works.com,"Road-650 Black, 58",1,782,62
SO49325,1,2021-01-16,Christy Ye,christy9@adventure-works.com,"Mountain-200 Silver, 46",1,2071,165
SO49323,1,2021-01-16,Shannon Torres,shannon33@adventure-works.com,"Mountain-200 Black, 46",1,2049,163
SO49324,1,2021-01-16,Ruth Suri,ruth6@adventure-works.com,"Mountain-200 Silver, 38",1,2071,165
SO49326,1,2021-01-16,Hunter Garcia,hunter48@adventure-works.com,"Mountain-200 Black, 42",1,2049,163
SO49328,1,2021-01-17,Casey Nara,casey18@adventure-works.com,"Road-250 Black, 44",1,2181,174
SO49329,1,2021-01-17,Stephanie King,stephanie64@adventure-works.com,"Road-550-W Yellow, 44",1,1000,80
SO49327,1,2021-01-17,Darryl Ye,darryl9@adventure-works.com,"Road-250 Red, 48",1,2443,195
SO49330,1,2021-01-17,Jill Suarez,jill27@adventure-works.com,"Mountain-200 Silver, 42",1,2071,165
